Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage
GCA_000734315.1	Pyricularia oryzae	MoZJ15	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740637	2014-07-28	Seoul National University	37493836	6575	14356	14356	73
GCA_000734325.1	Pyricularia oryzae	MoCQ11	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740626	2014-07-28	Seoul National University	36263528	8541	8761	8761	72
GCA_000734335.1	Pyricularia oryzae	MoAH06	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740625	2014-07-28	Seoul National University	37013264	6061	14799	14799	70
GCA_000734345.1	Pyricularia oryzae	MoGD22	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740627	2014-07-28	Seoul National University	36982960	7027	11665	11665	71
GCA_000734395.1	Pyricularia oryzae	MoGX01	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740629	2014-07-28	Seoul National University	36788781	8371	9897	9897	70
GCA_000734405.1	Pyricularia oryzae	MoHN06	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740631	2014-07-28	Seoul National University	36113398	7798	9967	9967	69
GCA_000734425.1	Pyricularia oryzae	MoJL10	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740632	2014-07-28	Seoul National University	36315912	8649	8923	8923	79
GCA_000734455.1	Pyricularia oryzae	MoK84-01	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742163	2014-07-28	Seoul National University	36391227	8119	9390	9390	68
GCA_000734495.1	Pyricularia oryzae	ASM73449v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742165	2014-07-28	Seoul National University	36288354	7725	10514	10514	74
GCA_000734515.1	Pyricularia oryzae	ASM73451v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742167	2014-07-28	Seoul National University	36446887	7603	10608	10608	74
GCA_000734525.1	Pyricularia oryzae	ASM73452v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742168	2014-07-28	Seoul National University	35669262	9213	7980	7980	71
GCA_000734555.1	Pyricularia oryzae	ASM73455v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742170	2014-07-28	Seoul National University	35613849	9452	7567	7567	75
GCA_000734575.1	Pyricularia oryzae	ASM73457v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742164	2014-07-28	Seoul National University	35571426	7624	9888	9888	68
GCA_000734595.1	Pyricularia oryzae	ASM73459v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742166	2014-07-28	Seoul National University	36384190	7786	10077	10077	75
GCA_000734605.1	Pyricularia oryzae	ASM73460v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742169	2014-07-28	Seoul National University	35967056	8881	8241	8241	76
GCA_000734635.1	Pyricularia oryzae	ASM73463v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742171	2014-07-28	Seoul National University	35774258	9202	7918	7918	67
GCA_000734655.1	Pyricularia oryzae	ASM73465v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742173	2014-07-28	Seoul National University	37097895	8594	10036	10036	67
GCA_000734675.1	Pyricularia oryzae	ASM73467v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742174	2014-07-28	Seoul National University	35946122	8535	8645	8645	77
GCA_000734685.1	Pyricularia oryzae	ASM73468v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742175	2014-07-28	Seoul National University	36255505	8855	8613	8613	70
GCA_000734705.1	Pyricularia oryzae	ASM73470v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742257	2014-07-28	Seoul National University	36235577	9429	8132	8132	67
GCA_000734735.1	Pyricularia oryzae	ASM73473v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742258	2014-07-28	Seoul National University	36003007	9152	7951	7951	75
GCA_000734755.1	Pyricularia oryzae	ASM73475v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742172	2014-07-28	Seoul National University	36003397	9277	7993	7993	73
GCA_000734785.1	Pyricularia oryzae	ASM73478v1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02742176	2014-07-28	Seoul National University	35801870	8427	8633	8633	74
GCA_000805855.1	Pyricularia oryzae	ASM80585v1	Scaffold	SOAPdenovo v. 1.05	Illumina HiSeq	PRJNA259589	SAMN03010511	2014-12-19	nanjing agriculture university	42306689	1161	88900	1530397	135
GCA_001548775.1	Pyricularia oryzae	EI9411	Scaffold	CLC NGS Cell v. JUNE-2014	Illumina HiSeq	PRJNA304354	SAMN04318447	2016-02-04	Fujian Agriculture and Forestry University	40306145	3088	50072	81416	60
GCA_001548785.1	Pyricularia oryzae	EI9604	Scaffold	CLC NGS Cell v. JUNE-2014	Illumina HiSeq	PRJNA304354	SAMN04318448	2016-02-04	Fujian Agriculture and Forestry University	41601338	2856	57102	100075	60
GCA_001548845.1	Pyricularia oryzae	SV9610	Scaffold	CLC NGS Cell v. JUNE-2014	Illumina HiSeq	PRJNA304354	SAMN04318449	2016-02-04	Fujian Agriculture and Forestry University	39325514	3151	73202	154236	60
GCA_001548855.1	Pyricularia oryzae	SV9623	Scaffold	CLC NGS Cell v. JUNE-2014	Illumina HiSeq	PRJNA304354	SAMN04318450	2016-02-04	Fujian Agriculture and Forestry University	39376824	2869	72025	145603	60
GCA_001675595.1	Pyricularia oryzae	ASM167559v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN04942531	2016-06-23	International Wheat Blast Consortium	41344138	9202	11882	18877	12
GCA_001675605.1	Pyricularia oryzae	ASM167560v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN04942534	2016-06-23	International Wheat Blast Consortium	42962175	5915	26742	64503	38
GCA_001675615.1	Pyricularia oryzae	ASM167561v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN04940126	2016-06-23	International Wheat Blast Consortium	42084471	11699	9547	12951	21
GCA_001675625.1	Pyricularia oryzae	ASM167562v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN04942725	2016-06-23	International Wheat Blast Consortium	43625833	3475	36282	181209	157
GCA_001853415.3	Pyricularia oryzae	ASM185341v3	Contig	wtdbg2 v. 2 Feb-2020; Long Read Gap closer v. 3 Feb-2020	Illumina HiSeq; PacBio RSII	PRJNA330763	SAMN05425585	2021-10-21	CRP on Genomics of ICAR, New Delhi	42437481	375	524210	524210	430
GCA_001936075.1	Pyricularia oryzae	ASM193607v1	Contig	SOAPdenovo v. 2.04	Illumina HiSeq	PRJNA302700	SAMN04216992	2017-01-05	Centre for Cellular and Molecular Platforms	39336497	8554	13179	13179	75
GCA_001936435.1	Pyricularia oryzae	ASM193643v1	Contig	SOAPdenovo v. 2.04	Illumina HiSeq	PRJNA302736	SAMN04217083	2017-01-05	Centre for Cellular and Molecular Platforms	38751292	7631	16651	16651	48
GCA_001936935.1	Pyricularia oryzae	ASM193693v1	Contig	SOAPdenovo v. 2.04	Illumina HiSeq	PRJNA302732	SAMN04216996	2017-01-05	Centre for Cellular and Molecular Platforms	39881187	41689	1430	1430	300
GCA_002105295.1	Pyricularia oryzae	ASM210529v1	Scaffold	SOAPdenovo v. 2015-10	Illumina HiSeq	PRJNA376429	SAMN06392751	2017-04-21	Fujian Agriculture and Forestry University	38934700	2897	67610	93412	113
GCA_002218345.1	Pyricularia oryzae	H08-1a_0.9	Contig	SOAPdenovo v. 2.4	Illumina HiSeq	PRJNA391416	SAMN07267886	2017-07-14	huazhong agricultural university	39383118	2695	153342	153342	100
GCA_002218355.1	Pyricularia oryzae	H08-1c_0.9	Scaffold	SOAPdenovo v. 2.4	Illumina HiSeq	PRJNA391416	SAMN07267887	2017-07-14	huazhong agricultural university	39272241	5290	20801	147502	50
GCA_002218425.1	Pyricularia oryzae	Py22.1	Scaffold	CLC Genomics Workbench v. 7.5.1	Illumina MiSeq	PRJNA320483	SAMN05725179	2017-07-14	International Wheat Blast Consortium	42437008	988	110009	114284	141
GCA_002218435.1	Pyricularia oryzae	ASM221843v1	Scaffold	CLC Genomics Workbench v. 7.5.1	Illumina MiSeq	PRJNA320483	SAMN05762829	2017-07-14	International Wheat Blast Consortium	42670599	1559	67755	69664	282
GCA_002218465.1	Pyricularia oryzae	ASM221846v1	Scaffold	CLS Genomics Workbench v. 7.5.1	Illumina MiSeq	PRJNA320483	SAMN05580113	2017-07-14	International Wheat Blast Consortium	41771944	1409	81481	81851	97
GCA_002218475.1	Pyricularia oryzae	P-0028	Scaffold	CLC Genomics Workbench v. 7.5.1	Illumina MiSeq	PRJNA320483	SAMN05864041	2017-07-14	International Wheat Blast Consortium	42988316	1688	110556	207207	111
GCA_002218485.1	Pyricularia oryzae	ASM221848v1	Scaffold	CLC Genomics Workbench v. 7.5.1	Illumina MiSeq	PRJNA320483	SAMN05898532	2017-07-14	International Wheat Blast Consortium	42445515	1314	112150	196071	115
GCA_002368475.1	Pyricularia oryzae	ASM236847v1	Contig	Celera Assembler v. June-2016	PacBio	PRJNA354811	SAMN06050152	2017-09-26	Fujian Agriculture and Forestry University	43846566	54	4134126	4134126	247
GCA_002368485.1	Pyricularia oryzae	ASM236848v1	Contig	Celera Assembler v. June-2016	PacBio	PRJNA354811	SAMN06050153	2017-09-26	Fujian Agriculture and Forestry University	42869699	56	3275692	3275692	108
GCA_002368515.1	Pyricularia oryzae	ASM236851v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354811	SAMN06050150	2017-09-26	Fujian Agriculture and Forestry University	38028932	2454	77792	156610	184
GCA_002368525.1	Pyricularia oryzae	ASM236852v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354811	SAMN06050151	2017-09-26	Fujian Agriculture and Forestry University	37490204	2000	80464	180736	261
GCA_002924665.1	Pyricularia oryzae	ASM292466v1	Scaffold	Velvet v. 1	Illumina HiSeq	PRJNA320483	SAMN08009580	2018-02-08	International Wheat Blast Consortium	42478152	11752	9731	37322	80
GCA_002924685.1	Pyricularia oryzae	ASM292468v1	Scaffold	Newbler v. 2.9	Roche 454	PRJNA320483	SAMN08009578	2018-02-08	International Wheat Blast Consortium	43356274	923	96532	3962041	25
GCA_002924695.1	Pyricularia oryzae	ASM292469v1	Scaffold	Velvet v. 1	Illumina GAII	PRJNA320483	SAMN08009579	2018-02-08	International Wheat Blast Consortium	39236975	22928	2964	2965	42
GCA_002924745.1	Pyricularia oryzae	ASM292474v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009575	2018-02-08	International Wheat Blast Consortium	42288804	2784	29365	62883	124
GCA_002924755.1	Pyricularia oryzae	ASM292475v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009576	2018-02-08	International Wheat Blast Consortium	43535068	3487	34075	104709	23
GCA_002924785.1	Pyricularia oryzae	ASM292478v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009574	2018-02-08	International Wheat Blast Consortium	42713036	4643	27543	72801	22
GCA_002924795.1	Pyricularia oryzae	ASM292479v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009573	2018-02-08	International Wheat Blast Consortium	40503645	3629	31386	69844	24
GCA_002924825.1	Pyricularia oryzae	ASM292482v1	Contig	Newbler v. 2.9	Roche 454	PRJNA320483	SAMN08009572	2018-02-08	International Wheat Blast Consortium	42483483	1722	72795	72795	19
GCA_002924835.1	Pyricularia oryzae	ASM292483v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009571	2018-02-08	International Wheat Blast Consortium	42551776	2348	43723	141200	51
GCA_002924865.1	Pyricularia oryzae	ASM292486v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009570	2018-02-08	International Wheat Blast Consortium	43288804	4507	24050	45834	12
GCA_002924875.1	Pyricularia oryzae	ASM292487v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009569	2018-02-08	International Wheat Blast Consortium	42076864	3423	37140	96476	31
GCA_002924885.1	Pyricularia oryzae	ASM292488v1	Scaffold	Newbler v. 2.6	Illumina MiSeq	PRJNA320483	SAMN08009568	2018-02-08	International Wheat Blast Consortium	42620654	4290	32411	135136	144
GCA_002924915.1	Pyricularia oryzae	ASM292491v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009567	2018-02-08	International Wheat Blast Consortium	43265743	3019	40682	232896	57
GCA_002924945.1	Pyricularia oryzae	ASM292494v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009566	2018-02-08	International Wheat Blast Consortium	43574967	3409	39103	218204	53
GCA_002924965.1	Pyricularia oryzae	ASM292496v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009565	2018-02-08	International Wheat Blast Consortium	39491748	4633	40205	84247	28
GCA_002924975.1	Pyricularia oryzae	ASM292497v1	Scaffold	Newbler v. 2.9	Roche 454	PRJNA320483	SAMN08009564	2018-02-08	International Wheat Blast Consortium	42913937	3790	36713	940778	15
GCA_002924985.1	Pyricularia oryzae	ASM292498v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009563	2018-02-08	International Wheat Blast Consortium	39600734	2862	43248	127734	73
GCA_002925025.1	Pyricularia oryzae	ASM292502v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009562	2018-02-08	International Wheat Blast Consortium	39534872	3207	35806	87169	26
GCA_002925045.1	Pyricularia oryzae	ASM292504v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009561	2018-02-08	International Wheat Blast Consortium	39439879	2782	40577	93401	39
GCA_002925065.1	Pyricularia oryzae	ASM292506v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009560	2018-02-08	International Wheat Blast Consortium	40238383	3978	35082	85442	26
GCA_002925085.1	Pyricularia oryzae	ASM292508v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009559	2018-02-08	International Wheat Blast Consortium	39422808	3400	38728	83221	29
GCA_002925095.1	Pyricularia oryzae	ASM292509v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009557	2018-02-08	International Wheat Blast Consortium	37356090	4279	22229	36095	17
GCA_002925105.1	Pyricularia oryzae	ASM292510v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009558	2018-02-08	International Wheat Blast Consortium	42976410	3250	44301	123633	48
GCA_002925145.1	Pyricularia oryzae	ASM292514v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009556	2018-02-08	International Wheat Blast Consortium	39904360	5848	24946	105252	23
GCA_002925155.1	Pyricularia oryzae	ASM292515v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009555	2018-02-08	International Wheat Blast Consortium	42564503	3366	35228	114865	25
GCA_002925165.1	Pyricularia oryzae	ASM292516v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009554	2018-02-08	International Wheat Blast Consortium	41421252	3666	32502	72869	35
GCA_002925205.1	Pyricularia oryzae	ASM292520v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009553	2018-02-08	International Wheat Blast Consortium	42055317	4255	30618	77760	20
GCA_002925215.1	Pyricularia oryzae	ASM292521v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009552	2018-02-08	International Wheat Blast Consortium	39844086	4866	34732	77569	25
GCA_002925225.1	Pyricularia oryzae	ASM292522v1	Contig	Newbler v. 2.9	Roche 454	PRJNA320483	SAMN08009551	2018-02-08	International Wheat Blast Consortium	42932243	2071	61997	61997	20
GCA_002925285.1	Pyricularia oryzae	ASM292528v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009549	2018-02-08	International Wheat Blast Consortium	40381126	2830	34251	104795	32
GCA_002925295.1	Pyricularia oryzae	ASM292529v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009548	2018-02-08	International Wheat Blast Consortium	42141387	3220	29869	88761	43
GCA_002925325.1	Pyricularia oryzae	ASM292532v1	Scaffold	Velvet v. 1	Illumina HiSeq	PRJNA320483	SAMN08009547	2018-02-08	International Wheat Blast Consortium	40219488	15297	6345	46950	80
GCA_002925335.1	Pyricularia oryzae	ASM292533v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009545	2018-02-08	International Wheat Blast Consortium	41732479	3710	27671	73544	39
GCA_002925345.1	Pyricularia oryzae	ASM292534v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009546	2018-02-08	International Wheat Blast Consortium	42474840	2344	41793	134171	61
GCA_002925385.1	Pyricularia oryzae	ASM292538v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009544	2018-02-08	International Wheat Blast Consortium	41379149	3202	44635	267242	33
GCA_002925405.1	Pyricularia oryzae	ASM292540v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009543	2018-02-08	International Wheat Blast Consortium	41268497	4334	44687	204898	25
GCA_002925415.1	Pyricularia oryzae	ASM292541v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009542	2018-02-08	International Wheat Blast Consortium	43052761	3924	26468	41323	61
GCA_002925425.1	Pyricularia oryzae	ASM292542v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009541	2018-02-08	International Wheat Blast Consortium	42475479	3438	29827	46715	72
GCA_002925445.1	Pyricularia oryzae	ASM292544v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN08009540	2018-02-08	International Wheat Blast Consortium	40843293	3500	29443	62030	26
GCA_003013125.1	Pyricularia oryzae	ASM301312v1	Scaffold	Velvet v. 2.6	Illumina HiSeq	PRJNA320483	SAMN08377452	2018-03-21	International Wheat Blast Consortium	39165496	7549	12970	162206	11
GCA_003015385.1	Pyricularia oryzae	ASM301538v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050060	2018-03-26	Fujian Agriculture and Forestry University	38390054	1902	113853	122137	60
GCA_003015395.1	Pyricularia oryzae	ASM301539v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050061	2018-03-26	Fujian Agriculture and Forestry University	38568685	2034	119331	126393	60
GCA_003015405.1	Pyricularia oryzae	ASM301540v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050062	2018-03-26	Fujian Agriculture and Forestry University	38865278	2193	108988	122072	60
GCA_003015425.1	Pyricularia oryzae	ASM301542v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050063	2018-03-26	Fujian Agriculture and Forestry University	38475208	2101	112638	128693	60
GCA_003015465.1	Pyricularia oryzae	ASM301546v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050064	2018-03-26	Fujian Agriculture and Forestry University	38807663	2134	106359	112636	60
GCA_003015475.2	Pyricularia oryzae	ASM301547v2	Contig	HGAP v. 5.0.1.10424	PacBio Sequel	PRJNA354675	SAMN06050065	2021-09-24	Fujian Agriculture and Forestry University	44970614	13	5503597	5503597	202
GCA_003015495.1	Pyricularia oryzae	ASM301549v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050066	2018-03-26	Fujian Agriculture and Forestry University	38421385	3096	66178	116633	60
GCA_003015515.1	Pyricularia oryzae	ASM301551v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050067	2018-03-26	Fujian Agriculture and Forestry University	38584030	2242	95867	108309	60
GCA_003015545.1	Pyricularia oryzae	ASM301554v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050068	2018-03-26	Fujian Agriculture and Forestry University	38331944	2241	78574	78953	60
GCA_003015555.1	Pyricularia oryzae	ASM301555v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050069	2018-03-26	Fujian Agriculture and Forestry University	38025015	2764	67502	100981	60
GCA_003015565.1	Pyricularia oryzae	ASM301556v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050070	2018-03-26	Fujian Agriculture and Forestry University	38242558	2789	63259	111639	60
GCA_003015595.1	Pyricularia oryzae	ASM301559v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050071	2018-03-26	Fujian Agriculture and Forestry University	38340962	2788	65920	107578	60
GCA_003015625.1	Pyricularia oryzae	ASM301562v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050072	2018-03-26	Fujian Agriculture and Forestry University	37283658	2433	61728	103798	60
GCA_003015635.1	Pyricularia oryzae	ASM301563v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050073	2018-03-26	Fujian Agriculture and Forestry University	37752038	2912	61118	98022	60
GCA_003015645.1	Pyricularia oryzae	ASM301564v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050074	2018-03-26	Fujian Agriculture and Forestry University	38590940	2940	64979	116974	60
GCA_003015655.1	Pyricularia oryzae	ASM301565v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050075	2018-03-26	Fujian Agriculture and Forestry University	38022850	2723	63758	125873	60
GCA_003015705.1	Pyricularia oryzae	ASM301570v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050076	2018-03-26	Fujian Agriculture and Forestry University	38689525	2702	67059	117832	60
GCA_003015735.1	Pyricularia oryzae	ASM301573v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050077	2018-03-26	Fujian Agriculture and Forestry University	38081667	2916	61366	110023	60
GCA_003015745.1	Pyricularia oryzae	ASM301574v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050078	2018-03-26	Fujian Agriculture and Forestry University	38539643	2861	61579	116992	60
GCA_003015755.1	Pyricularia oryzae	ASM301575v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050079	2018-03-26	Fujian Agriculture and Forestry University	37702447	2863	61922	103395	60
GCA_003015805.1	Pyricularia oryzae	ASM301580v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050080	2018-03-26	Fujian Agriculture and Forestry University	37972307	2685	63964	113843	60
GCA_003015815.2	Pyricularia oryzae	ASM301581v2	Contig	HGAP v. 5.0.1.10424	PacBio Sequel	PRJNA354675	SAMN06050081	2021-09-24	Fujian Agriculture and Forestry University	43369826	13	5454130	5454130	159
GCA_003015825.1	Pyricularia oryzae	ASM301582v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050083	2018-03-26	Fujian Agriculture and Forestry University	38728344	2471	71138	85714	60
GCA_003015835.1	Pyricularia oryzae	ASM301583v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050082	2018-03-26	Fujian Agriculture and Forestry University	38453552	2365	61437	72356	60
GCA_003015885.1	Pyricularia oryzae	ASM301588v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050084	2018-03-26	Fujian Agriculture and Forestry University	38644746	2621	61523	81077	60
GCA_003015895.1	Pyricularia oryzae	ASM301589v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050086	2018-03-26	Fujian Agriculture and Forestry University	37960040	2563	49212	84041	60
