accession	organism_name	strain	tax_id	assembly_level	assembly_status	release_date	submitter	refseq_category	sequencing_tech_raw	tech_category	biosample_accession	host	isolation_source	geo_loc_name	collection_date	total_sequence_length	total_ungapped_length	number_of_contigs	contig_n50	contig_l50	number_of_scaffolds	scaffold_n50	scaffold_l50	total_number_of_chromosomes	gc_percent	assembly_name	is_t2t_flagged	is_gapless_chromosome_level
GCA_021764705.1	Pyricularia oryzae		318829	Chromosome	current	2022-02-01	Huazhong Agricultural University		Oxford Nanopore; Illumina NextSeq	hybrid (long-read+short-read)	SAMN25211060		rice	China: Enshi Hubei	2021-10-10	45746719	45746019	14	5527333	4	7	7493747	3	7	51	ASM2176470v1	False	False
GCA_043231905.1	Pyricularia oryzae	O-219	318829	Chromosome	current	2024-10-16	Kansas State University		Oxford Nanopore MinION	long-read	SAMN37099171	Rice	Diseased rice plant	Cote d'Ivoire	1985	46767474	46767374	13	6382644	4	12	6382644	4	7	51	KSU_PyrO_219_1	False	False
GCA_036172685.1	Pyricularia oryzae	TF05-1MC7	318829	Chromosome	current	2024-01-31	Kansas State University		Oxford Nanopore MinION	long-read	SAMN36850036	Lolium arundinaceum		USA: Kentucky, Lexington	2005	45513680	45513680	11	6099538	4	11	6099538	4	9	50	TF05-1MC7Ref1	False	False
GCA_026261775.1	Pyricularia oryzae	ZM1-2	318829	Chromosome	current	2022-12-02	Kansas State University		Oxford Nanopore MinION	long-read	SAMN29254577	Triticum aestivum		Zambia: Mpika, Muchinga	2018	44974979	44974979	12	6045076	4	12	6045076	4	9	50	ZM1-2.v0.43	False	False
GCA_043231925.1	Pyricularia oryzae	O-135	318829	Chromosome	current	2024-10-16	Kansas State University		Oxford Nanopore MinION	long-read	SAMN37099169	Rice	Diseased rice plant	China: Zhejiang, Hangzhou	1985	44468491	44468491	10	5950546	4	10	5950546	4	7	51	KSU_PyrO_135_1	False	False
GCA_059330095.1	Pyricularia oryzae		318829	Chromosome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56501177	Triticum aestivum		Paraguay: Canindeyu	2012	44918736	44918736	14	5928839	4	14	5928839	4	9	50	P3v1	False	False
GCA_059469275.1	Pyricularia oryzae		318829	Chromosome	current	2026-07-16	University of Georgia		Illumina NovaSeq; PacBio RSII	hybrid (long-read+short-read)	SAMN49375469		Ethiopia	Ethiopia	2016-10	44456732	44346732	33	5806171	4	22	6127106	4	7	50	ASM5946927v1	False	False
GCA_046718735.1	Pyricularia oryzae	Guy11	318829	Chromosome	current	2025-01-17	Kansas State University		Oxford Nanopore MinION	long-read	SAMN37608890	rice	Diseased rice plant	French Guiana	1979	42607926	42605914	14	5802300	4	12	6590161	3	7	51	KSU_PyrO_Guy11_1	False	False
GCA_057381395.1	Pyricularia oryzae	gw6	318829	Chromosome	current	2026-05-11	Hebei Agricultural University		PacBio Sequel	long-read	SAMN31488230	Setaria italica	missing	China: Shijiazhuang, Gaocheng	2016-08-10	39199217	39199217	43	5592785	3	43	5592785	3	7	51	ASM5738139v1	False	False
GCA_043231915.1	Pyricularia oryzae	O-137	318829	Chromosome	current	2024-10-16	Kansas State University		Oxford Nanopore MinION	long-read	SAMN37099170	Rice	Diseased rice plant	China: Zhejiang, Hangzhou	1985	44200050	44199950	9	5522887	4	8	5740312	4	7	51	KSU_PyrO_137_1	False	False
GCA_055697955.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804013	Triticum aestivum		Brazil: Assis, PR	2013	42374045	42308971	975	178006	65	176	6085918	3	8	50	ASM5569795v1	False	False
GCA_049355405.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804025	Triticum aestivum		Brazil: Argenita, MG	2015-07-15	43074183	43011910	986	152340	78	206	6232963	3	7	50	ASM4935540v1	False	False
GCA_055689575.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804017	Triticum aestivum		Brazil: Assis, PR	2013	42912136	42848405	970	152254	84	179	6191916	3	8	50	ASM5568957v1	False	False
GCA_055697935.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804014	Triticum aestivum		Brazil: Assis, PR	2013	42739401	42673355	983	152202	87	157	6274490	3	8	50	ASM5569793v1	False	False
GCA_030512215.1	Pyricularia oryzae	TRG2	318829	Chromosome	current	2023-07-26	National Science and Technology Development Agency		PacBio RSII	long-read	SAMN27511241	Oryza sativa		Thailand	NA	38916680	38770471	3234	152159	62	1771	5827256	3	7	51.5	TGR2_hybrid_assembly	False	False
GCA_055689635.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804012	Triticum aestivum		Brazil: Assis, PR	2013	43045474	42980204	1062	150956	83	231	6235207	3	8	50	ASM5568963v1	False	False
GCA_049355415.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804029	Triticum aestivum		Brazil: Sacramento, MG	2017-05-17	43025429	42962437	954	150407	86	152	6250136	3	7	50	ASM4935541v1	False	False
GCA_049355325.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804020	Triticum aestivum		Brazil: Pedrinopolis, MG	2015-07-15	42979565	42918601	944	148174	84	171	6163044	3	7	50	ASM4935532v1	False	False
GCA_055689595.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804024	Triticum aestivum		Brazil: Perdizes, MG	2015-07-15	42981609	42907161	1126	142532	89	210	6157575	3	8	50	ASM5568959v1	False	False
GCA_055689535.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804019	Triticum aestivum		Brazil: Uberaba, MG	2015-07-15	43256556	43182921	1195	139869	94	290	6259668	3	8	50	ASM5568953v1	False	False
GCA_049355375.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804009	Triticum aestivum		Brazil: Cascavel, PR	2013	42870903	42803400	1054	137613	85	184	6273795	3	7	50	ASM4935537v1	False	False
GCA_055689515.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804021	Triticum aestivum		Brazil: Romaria, MG	2015-07-15	42933601	42851441	1205	137510	95	206	6137152	3	8	50	ASM5568951v1	False	False
GCA_055697915.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804007	Triticum aestivum		Brazil: Amambai, MS	2012-06-25	43207151	43099285	1463	135059	94	212	6221440	3	8	50	ASM5569791v1	False	False
GCA_049355335.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804015	Triticum aestivum		Brazil: Assis, PR	2013	42019977	41954494	987	135058	94	167	6044138	3	7	50	ASM4935533v1	False	False
GCA_049355395.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804030	Triticum aestivum		Brazil: Nova Ponte, MG	2017-05-17	43021031	42940699	1246	134959	102	273	6149646	3	7	50	ASM4935539v1	False	False
GCA_049355315.1	Pyricularia oryzae		318829	Chromosome	current	2025-04-08	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804022	Triticum aestivum		Brazil: Serra do Salitre, MG	2015-07-15	43016526	42937528	1175	134922	95	209	6144003	3	7	50	ASM4935531v1	False	False
GCA_055689605.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804023	Triticum aestivum		Brazil: Casa Branca, SP	2015-07-15	42549565	42493906	893	134861	94	173	6218978	3	8	50	ASM5568960v1	False	False
GCA_055697855.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804010	Triticum aestivum		Brazil: Cascavel, PR	2013	42870344	42792635	1144	133726	90	186	6265318	3	8	50	ASM5569785v1	False	False
GCA_055774735.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804028	Triticum aestivum		Brazil: Uberaba, MG	2017-05-17	43977652	43863507	1734	133636	102	423	6258378	3	8	50	ASM5577473v1	False	False
GCA_055689495.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804031	Triticum aestivum		Brazil: Brasilia, DF	2017-09-17	43612811	43488114	1903	129618	103	491	6194380	3	8	50	ASM5568949v1	False	False
GCA_055697875.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804008	Triticum aestivum		Brazil: Sao Luis Gonzaga, RS	2012-09-18	42668985	42601348	1004	126299	88	166	6124397	3	8	50	ASM5569787v1	False	False
GCA_055697975.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804027	Triticum aestivum		Brazil: Passo Fundo, RS	2017-03-17	43286861	43182465	1542	122061	98	330	6213044	3	8	50	ASM5569797v1	False	False
GCA_055697895.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804016	Triticum aestivum		Brazil: Assis, PR	2013	42652025	42574348	1141	118375	96	191	6151526	3	8	50	ASM5569789v1	False	False
GCA_055697835.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804011	Triticum aestivum		Brazil: Assis, PR	2013	43017720	42933092	1257	113822	101	263	6291321	3	8	50	ASM5569783v1	False	False
GCA_055697985.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804026	Triticum aestivum		Brazil: Londrina, PR	2015-08-15	42923426	42815094	1668	109363	101	423	6007635	3	8	50	ASM5569798v1	False	False
GCA_055689555.1	Pyricularia oryzae		318829	Chromosome	current	2026-03-05	Brazilian Agricultural Research Corporation		Illumina NovaSeq	short-read	SAMN45804018	Triticum aestivum		Brazil: Uberaba, MG	2015-07-15	42954001	42817138	1854	95846	126	356	6167284	3	8	50	ASM5568955v1	False	False
GCA_944989335.1	Pyricularia oryzae		318829	Contig	current	2022-07-13	The John Innes Centre		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA110153377	Setaria	Wild grasses	Germany	2021-08	44788744	44788744	29	6975948	3	29	6975948	3		50.5	GA10A2_contigs_polished	False	False
GCA_905067025.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illuminate	hybrid (long-read+short-read)	SAMEA7473262			Italy	2011	47005811	47005811	24	6618557	3	24	6618557	3		51	AG006_contigs_polished	False	False
GCA_944606705.1	Pyricularia oryzae		318829	Contig	current	2022-07-15	iwate biotechnology research center		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA110145009					43626931	43626931	11	6588090	3	11	6588090	3		51	d44a_contigs_polished	False	False
GCA_944606235.1	Pyricularia oryzae		318829	Contig	current	2022-07-15	iwate biotechnology research center		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA110144965	Oryza sativa		Indonesia		43162440	43162440	11	6457810	3	11	6457810	3		51	O23_contigs_polished	False	False
GCA_946468025.1	Pyricularia oryzae		318829	Contig	current	2022-09-12	John Innes Centre		Oxford Nanopore	long-read	SAMEA110691667					42866477	42866477	21	6394504	3	21	6394504	3		50	MoT PS-2	False	False
GCA_905067035.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473258			Italy	2011	47495958	47495958	26	6249570	3	26	6249570	3		51	AG039_contigs_polished	False	False
GCA_003016745.2	Pyricularia oryzae	Sar-2-20-1	318829	Contig	current	2021-09-24	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN06050113	Oryza sativa	not collected	Suriname: Saramacca	2013	46284791	46284791	16	6161260	4	16	6161260	4		51	ASM301674v2	False	False
GCA_011799915.1	Pyricularia oryzae	Sar-2-20-1	318829	Contig	current	2020-03-31	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN12340660	Oryza sativa		Suriname: Saramacca	2013	46284791	46284791	16	6161260	4	16	6161260	4		51	ASM1179991v1	False	False
GCA_905067015.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473266			Italy	2011	47810826	47810826	33	6094221	4	33	6094221	4		51	AG098_contigs_polished	False	False
GCA_905067075.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473261			Italy	2003	44615198	44615198	16	6063740	4	16	6063740	4		51	PR003_contigs_polished	False	False
GCA_900474375.2	Pyricularia oryzae		318829	Contig	current	2018-12-06	THE SAINSBURY LABORATORY		minION	long-read	SAMEA4708262					43978086	43978086	16	6037509	3	16	6037509	3		50	BTMP13_1_contigs	False	False
GCA_963556445.1	Pyricularia oryzae		318829	Contig	current	2024-02-24	The John Innes Centre		PromethION,Illumina HiSeq 2500	hybrid (long-read+short-read)	SAMEA114466569			Brazil	1990	43945100	43945100	10	6027403	4	10	6027403	4		50	Br62_assembly	False	False
GCA_050656755.1	Pyricularia oryzae	95085 HCT	318829	Contig	current	2025-06-02	Fujian Agriculture and Forestry University		PacBio	long-read	SAMN48319862	Oryza sativa		China: Fuzhou	2023	46771724	46771724	18	6015361	4	18	6015361	4		51	HCTi.v1.0.fasta	False	False
GCA_905067055.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473263			Italy	2011	45916910	45916910	24	5961411	4	24	5961411	4		51	AG032_contigs_polished	False	False
GCA_050141245.1	Pyricularia oryzae	HCT1	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111382	Oryza sativa		China: Fujian	2023	40816409	40816409	58	5904295	3	58	5904295	3		51	ASM5014124v1	False	False
GCA_905066965.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473260			Italy	2011	47743121	47743121	37	5900770	4	37	5900770	4		50.5	AG059_contigs_polished	False	False
GCA_050141175.1	Pyricularia oryzae	HCT2	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111383	Oryza sativa		China: Fujian	2023	46018840	46018840	145	5867634	4	145	5867634	4		51	ASM5014117v1	False	False
GCA_905067005.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473265			Italy	2011	46291169	46291169	19	5673907	4	19	5673907	4		51	AG038_contigs_polished	False	False
GCA_003015975.2	Pyricularia oryzae	FJ98099	318829	Contig	current	2021-09-24	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN06050092	Oryza sativa	not collected	China: Fujian	1998	44637475	44637475	10	5637639	4	10	5637639	4		51	ASM301597v2	False	False
GCA_011799925.1	Pyricularia oryzae	FJ98099	318829	Contig	current	2020-03-31	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN12340661	Oryza sativa		China: Fujian	1998	44637475	44637475	10	5637639	4	10	5637639	4		51	ASM1179992v1	False	False
GCA_900474475.3	Pyricularia oryzae		318829	Contig	current	2020-01-16	THE SAINSBURY LABORATORY		Oxford Nanopore	long-read	SAMEA4708261					43939965	43939965	27	5531649	4	27	5531649	4		50	CD156_genome_polished_no_mito	False	False
GCA_012654115.1	Pyricularia oryzae	Arcadia2	318829	Scaffold	current	2020-04-22	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN14167122			not applicable	not applicable	45684507	45660506	30	5510653	4	23	5982914	4		50.5	ASM1265411v1	False	False
GCA_003015475.2	Pyricularia oryzae	AV1-1-1	318829	Contig	current	2021-09-24	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN06050065	Oryza sativa	not collected	Ghana: Aveyime	2015	44970614	44970614	13	5503597	4	13	5503597	4		51	ASM301547v2	False	False
GCA_011799965.1	Pyricularia oryzae	AV1-1-1	318829	Contig	current	2020-03-31	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN12340659	Oryza sativa		Ghana: Aveyime	2015	44970614	44970614	13	5503597	4	13	5503597	4		51	ASM1179996v1	False	False
GCA_003015815.2	Pyricularia oryzae	FJ72ZC7-77	318829	Contig	current	2021-09-24	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN06050081	Oryza sativa	not collected	China: Fujian	1992	43369826	43369826	13	5454130	3	13	5454130	3		51	ASM301581v2	False	False
GCA_011799905.1	Pyricularia oryzae	FJ72ZC7-77	318829	Contig	current	2020-03-31	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN12340662	Oryza sativa		China: Fujian	1992	43369826	43369826	13	5454130	3	13	5454130	3		51	ASM1179990v1	False	False
GCA_050141075.1	Pyricularia oryzae	HCT1109	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111386	Oryza sativa		China: Fujian	2023	41779481	41779481	67	5444627	4	67	5444627	4		51	ASM5014107v1	False	False
GCA_050140955.1	Pyricularia oryzae	avrpik-1	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43143353	Oryza sativa		China: Fujian	2023	41891141	41891141	83	5443991	4	83	5443991	4		51	ASM5014095v1	False	False
GCA_050140945.1	Pyricularia oryzae	HCT1511	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111389	Oryza sativa		China: Fujian	2023	42650632	42650632	119	5436533	4	119	5436533	4		51	ASM5014094v1	False	False
GCA_900474655.3	Pyricularia oryzae		318829	Contig	current	2020-01-16	THE SAINSBURY LABORATORY		Oxford Nanopore	long-read	SAMEA4708258					46410415	46410415	31	5398440	4	31	5398440	4		51	FR13_genome_polished_no_mito	False	False
GCA_021442365.1	Pyricularia oryzae	K23/123	318829	Contig	current	2022-01-12	University of Bedfordshire		PacBio; Illumina MiSeq	hybrid (long-read+short-read)	SAMN08033374	Eleucine coracana	neck blast	Kenya: Busia district	2000	42583001	42583001	21	5380831	4	21	5380831	4		50	FMB_K23123	False	False
GCA_025473435.1	Pyricularia oryzae	Rep1-buf1#5	318829	Contig	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714323	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2019	44462687	44462687	24	5150716	4	24	5150716	4		51	ASM2547343v1	False	False
GCA_900474545.3	Pyricularia oryzae		318829	Contig	current	2020-01-16	THE SAINSBURY LABORATORY		Oxford Nanopore	long-read	SAMEA4708260					41805140	41805140	17	5096353	3	17	5096353	3		50	BR32_genome_polished_no_mito	False	False
GCA_944989255.1	Pyricularia oryzae		318829	Contig	current	2022-07-13	The John Innes Centre		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA110153376	Setaria	Wild grasses	Germany	2021-08	44312841	44312841	20	5068283	4	20	5068283	4		50.5	GE12B_contigs_polished	False	False
GCA_050141145.1	Pyricularia oryzae	HCT8	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111385	Oryza sativa		China: Fujian	2023	41617990	41617990	106	4953908	4	106	4953908	4		51	ASM5014114v1	False	False
GCA_050656645.1	Pyricularia oryzae	95HPH-4-HIFI	318829	Contig	current	2025-06-02	Fujian Agriculture and Forestry University		PacBio	long-read	SAMN43143354	Oryza sativa		China: Fujian	2023	46065458	46065458	39	4850927	4	39	4850927	4		51	95HPH-4-hifi	False	False
GCA_050140975.1	Pyricularia oryzae	HCT1701	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111390	Oryza sativa		China: Fujian	2023	41386469	41386469	79	4806363	4	79	4806363	4		51	ASM5014097v1	False	False
GCA_050141065.1	Pyricularia oryzae	HCT1307	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111387	Oryza sativa		China: Fujian	2023	42559394	42559394	105	4793887	4	105	4793887	4		51	ASM5014106v1	False	False
GCA_050141105.1	Pyricularia oryzae	HCT1504	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111388	Oryza sativa		China: Fujian	2023	35218470	35218470	120	4785008	4	120	4785008	4		51	ASM5014110v1	False	False
